row_type,node_id,text_label,params,next_node
NODE,start,"「よく来てくれた、裏稼業の者よ。内密に頼みたい汚れ仕事があるのだ」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""地方太守"",""type"":""text""}",start_01_02
NODE,start_01_02,"館の中は肥沃な香が焚かれ、贅を尽くした料理が並ぶ。飢餓に喘ぐ辺境とは正反対の世界だ。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_01_03
NODE,start_01_03,"太守の脂ぎった顔が、目の前の山積みの金貨を指し示す。欲望と冷酷さが透けて見えた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_01_04
NODE,start_01_04,"きらびやかな装飾の太守の館で、肥え太った役人が冷酷な笑みを浮かべていた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_02
NODE,start_02,"「辺境の農村で、税の取り立てに反発した農民どもが竹槍を持って暴れ回っておる」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""地方太守"",""type"":""text""}",start_03
NODE,start_03,"「正規兵を動かせば上に知れる。荒くれ者のお前たちに、奴らを黙らせてほしい」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""地方太守"",""type"":""text""}",start_04
NODE,start_04,"「奴らは暴徒と化している。情けは無用だ、一人残らず根絶やしにせよ」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""地方太守"",""type"":""text""}",start_05_01
NODE,start_05_01,"太守は面倒くさそうに手を振り、大量の金貨が入った袋を机の上に投げ出した。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_field"",""type"":""text""}",start_05
NODE,start_05,"目的地である辺境の農村まで、ここから東に二日ほどの旅路だ。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_field"",""type"":""text""}",travel_01
NODE,travel_01,"辺境へと続く街道は、見るも無惨に荒れ果てていた。道端には飢え死にした者たちの白骨が転がっている。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"田畑は完全に乾ききり、用水路も枯れている。これでは税など払えるはずもない。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_03
NODE,travel_03,"すれ違ったぼろ布を纏う老婆が、こちらの武装を見てひどく怯えた目を向けた。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_03_02
NODE,travel_03_02,"すれ違う村人たちの目は、どれも生気を失い、この世の終わりのような絶望に満ちていた。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_03_03
NODE,travel_03_03,"重税という名の暴力が、この美しい辺境をゆっくりと、確実に死に追いやっているのだ。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_04
NODE,travel_04,"「……アンタ、まさか……太守様が送ってきた手先かい？ ヒィィッ！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""speaker_name"":""村の老婆"",""type"":""text""}",arrive_01
NODE,arrive_01,"村の入り口に到着した。広場には農具や竹槍を手にした農民がバリケードを築いている。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_02
NODE,arrive_02,"皆一様に頬がこけ、目は落ち窪んでいる。正規兵ではない、ただの飢えた人間の群れだ。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_03
NODE,arrive_03,"こちらの接近に気づいた農民たちが、怯えと憎悪の入り混じった顔で一斉に竹槍を向けてきた。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_04_01
NODE,arrive_04_01,"バリケードの先頭に立つ初老の男が、血を吐くような凄まじい声で叫んだ。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",arrive_04
NODE,arrive_04,"「太守の犬め！ もう俺たちからは何も奪えないぞ！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",arrive_05
NODE,arrive_05,"「頼む、見逃してくれ！ 家族にひもじい思いをさせたくないだけなんだ！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",face_mob
NODE,face_mob,"刃を向ける相手は、魔物ではなく飢えた弱者たちだ。冒険者として太守の命令を遂行するか？","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,容赦なく制圧する——これが仕事だ,,charge_01
CHOICE,,武器を収め、引き下がる,,withdraw_01
NODE,charge_01,"感情を殺し、無言のまま武器を構える。それが裏社会を生きる者のルールだ。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",charge_02_01
NODE,charge_02_01,"武器を構えたあなたを見て、男たちの表情が絶望から狂気的な殺意へと変わる。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",charge_02
NODE,charge_02,"「……話し合いは通じないってわけか！ やるしかねぇ！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",charge_03
NODE,charge_03,"「逃げるな！ 退いたら村中の女子供が殺されるぞ！ 全員でかかれェッ！！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",battle_01
NODE,battle_01,"飢えた農民たちが捨て身の覚悟で突進してきた！","{""bg"":""bg_karyu_village"",""bgm"":""bgm_battle"",""enemy_group_id"":443,""type"":""battle""}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure_01
NODE,after_01,"怒号と悲鳴が入り混じる中、農民たちを次々と血祭りに上げる。血が乾いた土を赤く染めていく。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",after_02
NODE,after_02,"数名の死体を作ると、暴徒たちは恐れをなして後ずさった。だが、首謀者の男だけは血まみれで立っている。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",leader_01
NODE,leader_01,"「長男は重税のための強制労働で死んだ。次男は餓死した。娘は太守に売られた……！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",leader_02
NODE,leader_02,"「これ以上、何を奪うって言うんだ！ 殺すなら、俺を殺してからにしろォォッ！！」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""speaker_name"":""農民の首謀者"",""type"":""text""}",leader_03
NODE,leader_03,"男は折れた竹槍を強く握り直し、鬼気迫る形相でこちらへ突進してきた。彼の目にもう死への恐怖はない。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_02
NODE,battle_02,"首謀者が死に物狂いで襲いかかってきた！","{""bg"":""bg_karyu_village"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":444,""type"":""battle""}",
CHOICE,,win,,clear_01
CHOICE,,lose,,end_failure_01
NODE,clear_01,"首謀者が倒れ伏す。それを見た農民たちは、戦意を喪失して散り散りに逃げ去った。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",clear_02
NODE,clear_02,"広場には死体にすがりつく女や子供だけが残された。反乱は完全に制圧された。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success_01
NODE,end_success_01,"血塗られた手で太守の館へと戻り、任務完了の報告と共に多額の報酬を受け取る。","{""bg"":""bg_karyu_palace"",""type"":""text""}",end_success
