row_type,node_id,text_label,params,next_node
NODE,start,"「両国のギルドから共同依頼だ。霊山に九尾の大妖狐が現れた」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「千年を生きた大妖。妖力で地脈を乱し、両国に災厄をばらまいている」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「名声100以上の冒険者にしか頼めない案件だ。頼んだぞ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"千年の大妖か。これまでの相手とは格が違う。万全の準備で臨む。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"夜刀と華龍の国境にある霊山へ向かう。国境では両国の兵士が共同で警戒にあたっていた。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"山の麓に着くと、空気が異様に歪んでいるのがわかった。妖力の影響だ。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",border_01
NODE,border_01,"霊山への入口は二つある。夜刀側の北ルートと、華龍側の南ルートだ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",border_02
NODE,border_02,"北ルートは妖怪が多いが道は明瞭。南ルートは険しいが妖怪は少ない——と聞いた。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_path
NODE,choice_path,"","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「夜刀側（北ルート）から登る——妖怪を倒しながら進む」,,north_01
CHOICE,,「華龍側（南ルート）から登る——険しい山道を行く」,,south_01
NODE,north_01,"北ルートを進む。竹林の中を歩くと、早速妖怪の気配が漂ってきた。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",north_02
NODE,north_02,"九尾の妖力に引き寄せられた下級妖怪たちが群れをなしている。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",north_03
NODE,north_03,"道を塞ぐ妖怪の群れ。突破するしかない——！","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",north_battle
NODE,north_battle,"霊山の妖怪たちが襲いかかる！","{""bg"":""bg_forest_night"",""bgm"":""bgm_battle"",""enemy_group_id"":130,""type"":""battle""}",
CHOICE,,win,,south_01
CHOICE,,lose,,end_failure
NODE,south_01,"南ルートを登る。岩場が続き、足場が悪い。人の手が入っていない獣道だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",south_02
NODE,south_02,"崖際の細い道を慎重に進む。一歩踏み外せば谷底だ。そのとき——足場が崩れた！","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",south_trap
NODE,south_trap,"落石に巻き込まれ、全身を打った！ 致命傷は避けたが、体が痛む。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",south_03
NODE,south_03,"傷を押さえながら登り続ける。やがて山の中腹に出た。ここからは共通の道だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_peak
NODE,merge_peak,"霊山の中腹。空気が澄んでいるのに、視界が歪む。妖力が空間そのものを歪めている。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",peak_01
NODE,peak_01,"目の前に美しい花畑が広がった——だがこんな山頂に花畑があるはずがない。幻術だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",peak_02
NODE,peak_02,"九尾の幻術に惑わされまいと精神を集中する。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",illusion_01
NODE,illusion_01,"花畑の中に、美しい女性が立っている。「お疲れでしょう。休んでいきませんか」","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",illusion_02
NODE,illusion_02,"甘い声だ。意識がぼやける——。これは幻術。見破れるか——","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",random_illusion
NODE,random_illusion,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_mountain""}",
CHOICE,,success,,see_through
CHOICE,,failure,,tricked_01
NODE,see_through,"「——幻術か。見事だが、自分は騙されない」花畑が霧散し、荒涼とした岩山が現れた。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_shrine
NODE,tricked_01,"気づいた時には、崖の縁に立っていた。幻術に誘導されたのだ——！","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",tricked_trap
NODE,tricked_trap,"幻術が解け、足を踏み外した。岩場に叩きつけられる。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",tricked_02
NODE,tricked_02,"体を起こす。幻術に翻弄された——油断していた。九尾の力は底知れない。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_shrine
NODE,merge_shrine,"山頂が見えてきた。そこに、古びた祠が佇んでいる。九尾の大妖狐の住処だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",shrine_01
NODE,shrine_01,"祠の前に、九本の巨大な尾が揺らめいている。金色の毛並みが月光に輝く。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",shrine_02
NODE,shrine_02,"「……千年ぶりの客だ。自分の幻術を抜けてここまで来るとは——見込みがある」","{""bg"":""bg_forest_night"",""bgm"":""bgm_battle_boss"",""speaker_name"":""九尾の大妖狐"",""type"":""text""}",shrine_03
NODE,shrine_03,"「だが来た以上は試させてもらう。お前が自分を殺すに足る者か——あるいは、手を組むに足る者か」","{""bg"":""bg_forest_night"",""bgm"":""bgm_battle_boss"",""speaker_name"":""九尾の大妖狐"",""type"":""text""}",confront_01
