row_type,node_id,text_label,params,next_node
NODE,start,"「辺境の山にある道観で、邪悪な術師が『不死の薬』と称して村人たちを洗脳しておる」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""地方役人"",""type"":""text""}",start_02
NODE,start_02,"「薬を飲んだ者は廃人となり、ただ彼奴の命令に従うだけの人形と化すのだ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""地方役人"",""type"":""text""}",start_03
NODE,start_03,"「どうか、あの偽りの仙人を討伐し、村人たちを解放してやってくれ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""地方役人"",""type"":""text""}",start_04
NODE,start_04,"不死の薬などあるはずがない。人々の弱みにつけ込む外道を討つため、山へ向かう。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"華龍国の辺境。険しい山道を登っていくと、周囲に濃い霧が立ち込めてきた。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"ただの霧ではない。霊力を帯びた幻術の霧だ。方向感覚が狂わされる。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",mountain_01
NODE,mountain_01,"この霧を抜けた先に、目当ての道観があるはずだ。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",mountain_02
NODE,mountain_02,"どうやって進む？ ギルドで買った霊符を使えば霧を払えるが、術者に気付かれる。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_mist
NODE,choice_mist,"","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,"「気付かれないよう、霧の中を勘で進む」",,mist_walk_01
CHOICE,,"「霊符を使って強引に霧を払い、道を開く」",,mist_clear_01
NODE,mist_walk_01,"幻術に惑わされないよう、精神を集中させて霧の中を歩く……。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",mist_random
NODE,mist_random,"","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""random_branch"",""prob"":50}",mist_success_01
CHOICE,,成功,,mist_success_01
CHOICE,,失敗,,mist_fail_01
NODE,mist_success_01,"見事、幻術を打ち破り、道観への正しいルートを見つけ出した。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",merge_temple
NODE,mist_fail_01,"しまった、同じ場所をぐるぐると回っている！ 幻術が精神を蝕む……！","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",mist_trap
