row_type,node_id,text_label,params,next_node
NODE,start,"「マルカンドの交易路が完全に止まった。砂の下から竜が出たそうだ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「デザートドラゴン。千年以上前の古文書にしか記録がない伝説の存在だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「交易商会が報酬を積み上げている。だが、正直に言おう——生きて帰れる保証はない」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"竜殺し。物語の中でしか聞かない言葉だ。だが今、それが自分に求められている。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",caravan_01
NODE,caravan_01,"マルカンドの港町から砂漠へ出発した。護衛を申し出た交易商が同行してくれる。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_field"",""type"":""text""}",caravan_02
NODE,caravan_02,"「竜が出たのはこの先の大砂丘地帯だ。最後に目撃したキャラバンは全滅した」","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_field"",""type"":""text""}",caravan_03
NODE,caravan_03,"商人を安全な場所で待たせ、単身で砂丘の奥へ向かった。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_field"",""type"":""text""}",desert_01
NODE,desert_01,"大砂丘地帯。見渡す限りの砂の海。太陽が容赦なく照りつける。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",desert_02
NODE,desert_02,"砂の上に、巨大な爪跡が刻まれていた。幅は自分の両腕を広げた以上。これが竜の痕跡か。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",desert_03
NODE,desert_03,"突然、風が止んだ。空気が灼けるように熱い。次の瞬間——砂嵐が襲ってきた！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",sandstorm_trap
NODE,sandstorm_trap,"竜のブレスの残熱が砂嵐を引き起こしたのか。灼けた砂粒が肌を削る。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",sandstorm_02
NODE,sandstorm_02,"砂嵐が収まると、地形が変わっていた。砂がガラス状の平原に溶けている。竜の吐息の跡だ。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",oasis_01
NODE,oasis_01,"ガラスの平原の先に、不自然な緑が見えた。砂漠のオアシスか——蜃気楼か？","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",oasis_02
NODE,oasis_02,"近づくと水音がする。本物のオアシスだ。だが水面が異様に輝いている。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",oasis_03
NODE,oasis_03,"オアシスを迂回するか、突っ切るか。方角を見失わないよう慎重に進む——","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",random_mirage
NODE,random_mirage,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_marcund_desert""}",
CHOICE,,success,,mirage_clear
CHOICE,,failure,,mirage_lost
NODE,mirage_clear,"蜃気楼のパターンを読み、正しい道を選んだ。竜の巣の方角が見えてきた。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",approach_01
NODE,mirage_lost,"蜃気楼に惑わされた！ 同じ場所を何度も回り、体力が削られていく。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",mirage_trap
NODE,mirage_trap,"灼熱と脱水で意識が朦朧とする。必死に星の位置を読み、ようやく方角を取り戻した。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",mirage_lost_02
NODE,mirage_lost_02,"大きく消耗したが、竜の巣の方角は掴めた。水を一口だけ含み、前に進む。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_01
NODE,approach_01,"砂丘を越えると、巨大なクレーターが現れた。直径は城壁の一辺ほど。竜の巣だ。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_02
NODE,approach_02,"クレーターの底に、溶けた砂がガラスの洞窟を形成している。熱気が陽炎のように揺らめく。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_03
NODE,approach_03,"洞窟の入口付近に砂漠の魔獣たちが巣を張っている。竜の余熱に寄り付いた下等な魔物だ。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_04
NODE,approach_04,"背後を突かれないよう、まずは排除する。武器を抜いた——","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_01
NODE,nest_01,"魔獣たちがこちらに気づき、一斉に唸り声を上げた。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_02
NODE,nest_02,"砂蟲とサソリの群れが迫る——！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"砂漠の魔獣たちが襲いかかる！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle"",""enemy_group_id"":421,""type"":""battle""}",
CHOICE,,win,,nest_03
CHOICE,,lose,,end_failure
NODE,nest_03,"ガラスの洞窟に足を踏み入れた。壁面が虹色に輝いている。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",nest_04
NODE,nest_04,"洞窟の奥は天然のドーム状空洞。天井に竜の鱗が突き刺さっている。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",nest_05
NODE,nest_05,"大空洞の中央に、砂金と宝石が山のように積まれていた。竜の財宝か。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",nest_06
NODE,nest_06,"財宝の山の向こうに、巨大な影が横たわっている。規則的な呼吸が洞窟全体を揺らす。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",nest_07
NODE,nest_07,"デザートドラゴン。全長は城の塔ほど。黄金色の鱗、燃え上がるような紅い瞳。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_08
NODE,nest_08,"竜がこちらに気づいた。巨大な首がゆっくりと持ち上がる。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",roar_01
NODE,roar_01,"「——人間か。千年ぶりに目覚めてみれば、蟻の如き者がやってきたか」","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle_boss"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",roar_02
NODE,roar_02,"「自分の宝を守っているだけだ。なぜ人間は討ちに来る。身の程を知れ」","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle_boss"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",roar_03
NODE,roar_03,"「交易路を塞いでいるのはお前の巣だ。人が暮らせなくなっている」——言葉を返す。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle_boss"",""type"":""text""}",roar_04
NODE,roar_04,"「知ったことか。ならば力で示せ。竜に挑む愚かさの代償を——その身で味わえ」\n竜が翼を広げた。洞窟が地鳴りのように震える。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle_boss"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",battle_boss
NODE,battle_boss,"デザートドラゴンとの死闘——！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":9023,""type"":""battle""}",
CHOICE,,win,,victory_01
CHOICE,,lose,,end_failure
NODE,victory_01,"竜の巨体が揺らぎ、崩れ落ちた。黄金の鱗が剥がれていく。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_02
NODE,victory_02,"「……千年眠り、目覚めた途端に敗れるか。人間とは——面白い種族だ」","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",victory_03
NODE,victory_03,"「殺すか、それとも封じるか。竜は、負けた者に従う」\n竜は静かに首を下げた。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",choice_dragon
NODE,choice_dragon,"","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「止めを刺す。竜の脅威を永久に除く」,,slay_01
CHOICE,,「巣を砂漠の奥に移せ。人の道から離れろ」,,coexist_01
NODE,slay_01,"渾身の一撃を竜の額に叩き込んだ。洞窟が崩落し始める。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",slay_02
NODE,slay_02,"崩れゆく洞窟から脱出した。背後で竜の巣が砂に沈む。竜殺しの英雄——称号が現実になった。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success
NODE,end_success,"「デザートドラゴン討伐を確認！ 交易路は復旧する。お前は英雄だ」\n交易商会から莫大な報酬を受け取った。竜の鱗は勲章として飾られるだろう。","{""bg"":""bg_guild"",""rewards"":{""gold"":8000,""exp"":600,""reputation"":25,""alignment_shift"":{""chaos"":10}},""type"":""end"",""result"":""success""}",
NODE,coexist_01,"「……殺さぬか。珍しい人間だ」\n竜の紅い瞳にわずかな感情が灯った。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",coexist_02
NODE,coexist_02,"「ここから東に三日の場所に、人の通わぬ岩山がある。そこへ巣を移せ」","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",coexist_03
NODE,coexist_03,"「承知した。自分は恩を忘れぬ種族だ。次に会う時は、味方として来よう」\n竜は翼を広げ、砂嵐と共に東の空へ消えた。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_calm"",""speaker_name"":""デザートドラゴン"",""type"":""text""}",end_success_peace
NODE,end_success_peace,"「竜が去ったのか……交易路の安全は確認された」\n報酬は控えめだが、砂漠の空に黄金の影が消えていく姿は——悪くなかった。","{""bg"":""bg_guild"",""rewards"":{""gold"":5000,""exp"":600,""reputation"":15,""alignment_shift"":{""justice"":10}},""type"":""end"",""result"":""success""}",
NODE,end_failure,"竜のブレスが全身を包んだ。砂が硝子に変わる灼熱の中、意識が溶けていく。\n「蟻は所詮——蟻か」","{""bg"":""bg_marcund_desert"",""type"":""end"",""result"":""failure""}",
