row_type,node_id,text_label,params,next_node
NODE,start,"華龍国の南沿岸にある港町。\nその顔役である長から、手書きの海図と討伐の依頼書を受け取った。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_quest_calm"",""speaker_name"":""港町の長"",""type"":""text""}",start_02
NODE,start_02,"「沿岸を荒らしている忌々しい水賊どもめ。奴らの本拠地がようやく割れた」","{""bg"":""bg_karyu_port"",""bgm"":""bgm_quest_calm"",""speaker_name"":""港町の長"",""type"":""text""}",start_03
NODE,start_03,"「水賊の船は岬の裏側の入り江に停泊している。奪われた荷物は一つ残らず港に返してくれ」\nそう言う長の目は、正義感からではなく、計算高く欲深い光を帯びていた。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_quest_calm"",""speaker_name"":""港町の長"",""type"":""text""}",intel_01
NODE,intel_01,"奇襲をかける前に、港の薄汚れた酒場で水賊たちの情報を集めることにした。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_field"",""type"":""text""}",intel_02
NODE,intel_02,"酔客の話によると、水賊は中型のガレオン船を三隻所有する大規模な集団らしい。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_field"",""type"":""text""}",intel_03
NODE,intel_03,"頭目は「黒鰐（くろわに）」と呼ばれる大男で、元帝国海軍の将校だったという噂だ。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_field"",""type"":""text""}",intel_04
NODE,intel_04,"「単なるならず者じゃない。戦い方は一流の軍人のそれだ」\n酒場の主人が青ざめた顔でそう忠告してくれた。","{""bg"":""bg_karyu_port"",""bgm"":""bgm_field"",""type"":""text""}",night_01
NODE,night_01,"夜半過ぎ。月が雲に隠れたのを見計らい、用意した小舟を静かに漕ぎ出す。","{""bg"":""bg_karyu_coast"",""bgm"":""bgm_field_night"",""type"":""text""}",night_02
NODE,night_02,"岬を大回りして迂回する。海は墨を流したように暗く、潮の匂いが鼻をつく。","{""bg"":""bg_karyu_coast"",""bgm"":""bgm_field_night"",""type"":""text""}",night_03
NODE,night_03,"波の音だけが響く中、遠くの暗闇にポツンと浮かぶ入り江の松明が見えてきた。","{""bg"":""bg_karyu_coast"",""bgm"":""bgm_field_night"",""type"":""text""}",cove_01
NODE,cove_01,"入り江の奥に接近する。情報通り、三隻の船が寄り添うように停泊していた。","{""bg"":""bg_karyu_coast"",""bgm"":""bgm_quest_tense"",""type"":""text""}",cove_02
