row_type,node_id,text_label,params,next_node
NODE,start,"「冒険者殿、どうかお力をお貸しくだされ。河が荒れ、田畑が水に沈んでおるのです」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""村の長老"",""type"":""text""}",start_01_02
NODE,start_01_02,"都の喧騒を離れた薄暗い宿場で、長老は震える手で茶碗を握りしめていた。","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_02
NODE,start_02,"「村の者は、河に棲む妖怪""河伯""の怒りだと恐れておりまして……」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""村の長老"",""type"":""text""}",start_02_02
NODE,start_02_02,"（河伯か。水神とも称される強力な妖怪だな。簡単にはいかないぞ）","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「河伯を鎮めてくだされ。このままでは村が滅んでしまいます」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""村の長老"",""type"":""text""}",start_03_02
NODE,start_03_02,"老人の切実な訴えに、周囲の冒険者たちも無言で耳を傾けている。","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04
NODE,start_04,"「分かった、長老。まずは現地へ向かい、河の様子を確かめてみよう」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04_02
NODE,start_04_02,"荷物をまとめ、華陽の都の重厚な門をくぐり、辺境の村へと旅立った。","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"辺境の農村に到着した。田畑は泥水に浸かり、村人たちの顔は暗い。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"水浸しになった畦道で、農民たちが途方に暮れて泥水を眺めていた。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"河の水は異様に濁り、悪臭が漂っている。これは……ただの氾濫ではない。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",travel_02_02
NODE,travel_02_02,"（この鼻をつく悪臭……まるで腐った染料のようなにおいがするな）","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",river_01
NODE,river_01,"河伯の祠は下流にあるらしいが、水の汚れは上流から来ているようだ。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",river_01_02
NODE,river_01_02,"川縁にしゃがみ込み、濁った水を指ですくう。ぬるりとした油膜が浮く。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",river_02
NODE,river_02,"まず上流を調べるか、それとも直接河伯の祠へ向かうか。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_tense"",""type"":""text""}",river_02_02
