row_type,node_id,text_label,params,next_node
NODE,start,"「太守閣下から直々の依頼だ。翡翠鉱脈に大蛇が巣を作った」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""太守の使者"",""type"":""text""}",start_02
NODE,start_02,"「鉱脈は国の財源だ。採掘が止まれば民の暮らしに響く」","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""太守の使者"",""type"":""text""}",start_02_02
NODE,start_02_02,"（翡翠は華龍国の特産品だ。経済が停滞すれば太守の立場も危ういな）","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"翡翠鉱脈は霊山の中腹にある。大蛇の巣に辿り着くには山道を越えねばならない。","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03_02
NODE,start_03_02,"（使者は焦るように指示書を押しつけ、都の宮殿の方へと立ち去った）","{""bg"":""bg_har_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"霊山の麓に着いた。山の空気が澄んでいるが、どこか不穏な気配がある。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"（見上げれば霊峰の峰々に厚い雲が立ち込め、鳥の鳴き声すら聞こえない）","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"山道に入ると、蛇の脱け殻が散乱していた。鱗の大きさから、相当な巨体だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_field"",""type"":""text""}",mountain_01
NODE,mountain_01,"山道が二手に分かれている。渓流沿いの道と、尾根を行く道だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_path
NODE,choice_path,"","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「渓流沿いの道を行く——水場なら蛇の痕跡を追える」,,creek_01
CHOICE,,「尾根道を行く——高所から巣の位置を見下ろせるはず」,,ridge_01
NODE,creek_01,"渓流沿いを進む。清水が岩を洗い、心地よい音を立てている。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",creek_01_02
NODE,creek_01_02,"（水辺の湿った砂の上に、這った跡がはっきりと残されている）","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",creek_02
NODE,creek_02,"水辺に巨大な蛇 of 足跡を発見。この方向で間違いない。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",creek_03
NODE,creek_03,"渓流を遡ると、岩壁に大きな洞窟の入口が見えた。蛇の巣はあの中だ。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",avoid_01_02
NODE,ridge_01,"尾根道を登る。見晴らしは良いが、足場が悪い。突風が吹き——！","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ridge_01_02
NODE,ridge_01_02,"（突風に足元をすくわれ、小石が音を立てて谷底へと落ちていく）","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ridge_trap
NODE,ridge_trap,"足場が崩れ、転落しかけた！ 岩に掴まったが腕を負傷した。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",ridge_02
NODE,ridge_02,"傷を押さえながら尾根を越えた。上から巣の位置は把握できた。洞窟に向かう。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_cave
NODE,merge_cave,"洞窟に入った。翡翠の鉱脈が壁面に光っているが、地面には毒液の跡がある。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",cave_01
NODE,cave_01,"奥に進むと、生温い空気が漂う。蛇の巣は近い。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",cave_01_02
NODE,cave_01_02,"（壁面を覆う翡翠の緑光が、暗闇を冷たく照らし出している）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",cave_02
NODE,cave_02,"通路の先で、小型の蛇が数匹蠢いている。親蛇の子供だろうか。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",encounter_01
NODE,encounter_01,"子蛇たちがこちらに気づいた。攻撃してくるか——それとも回り道するか。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_snake
NODE,choice_snake,"","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「邪魔だ。排除する」,,attack_01
CHOICE,,「刺激せず迂回する」,,avoid_01
NODE,attack_01,"子蛇たちを攻撃する。小さいが毒牙は鋭い——油断はできない！","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",attack_01_02
NODE,attack_01_02,"（大剣を抜き払い、襲いかかってくる子蛇たちを牽制する！）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"","{""bg"":""bg_crypt"",""bgm"":""bgm_battle"",""enemy_group_id"":120,""type"":""battle""}",
CHOICE,,win,,nest_01
CHOICE,,lose,,end_failure_01
NODE,avoid_01,"子蛇を刺激しないよう、壁際を慎重に進む。息を殺し、足音を消す。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",avoid_01_02
NODE,avoid_01_02,"（静かに重心を移しながら、岩の影を縫うように歩を進めていく）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",avoid_02
NODE,avoid_02,"無事に通過できた。子蛇たちは気づかなかったようだ。体力を温存できた。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",nest_01
NODE,nest_01,"洞窟の最奥、翡翠が密集する広大な空間に出た。ここが巣の本体だ。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_01_02
NODE,nest_01_02,"（中央には大量の卵が産み落とされ、翡翠の輝きを受けて淡く光っている）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_02
NODE,nest_02,"天井から巨大な鱗が覗いている。翡翠色の光を帯びた大蛇——翡翠大蛇だ。","{""bg"":""bg_crypt"",""bgm"":""bgm_battle_boss"",""type"":""text""}",nest_03
NODE,nest_03,"大蛇がゆっくりと頭をもたげた。翡翠色の瞳がこちらを見つめている。臨戦態勢だ。","{""bg"":""bg_crypt"",""bgm"":""bgm_battle_boss"",""type"":""text""}",battle_boss
NODE,battle_boss,"","{""bg"":""bg_crypt"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":9064,""type"":""battle""}",
CHOICE,,win,,victory_01
CHOICE,,lose,,end_failure_01
NODE,victory_01,"翡翠大蛇が力なく横たわった。まだ息はあるが、抵抗する力は残っていない。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_01_02
NODE,victory_01_02,"（巨躯がズシンと地面を揺らして倒れ込み、洞窟内の毒気が霧散していく）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_02
NODE,victory_02,"巣ごと壊滅させれば鉱脈は安全になる。だが、この蛇は翡翠の精霊とも言われている。別の山に誘導する手もある。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",choice_fate
NODE,choice_fate,"","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「巣ごと壊滅させる。鉱脈の安全が最優先だ」,,destroy_01
CHOICE,,「蛇を別の山に誘導する。霊山の精霊を殺すべきではない」,,lure_01
NODE,destroy_01,"大蛇と卵を全て処分した。鉱脈は完全に安全になった。だが、翡翠の輝きが少し鈍くなった気がする。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",destroy_01_02
NODE,destroy_01_02,"（精霊の死によって、鉱脈を照らしていた光が弱まっていくのを感じた）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",destroy_02
NODE,destroy_02,"太守に報告した。鉱脈の再開が命じられ、手厚い報酬を受け取った。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success
NODE,end_success,"「翡翠鉱脈の脅威を排除した功績、高く評価する」\n採掘が再開し、華龍国の経済は息を吹き返した。","{""bg"":""bg_har_city"",""rewards"":{""gold"":3500,""exp"":400,""reputation"":10,""alignment_shift"":{""evil"":5}},""type"":""end"",""result"":""success""}",
NODE,lure_01,"薬草を焚き、大蛇を別の山へ誘導する。蛇は静かに従った。精霊の知恵があるのかもしれない。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",lure_01_02
NODE,lure_01_02,"（大蛇は感謝するかのように一度首を傾げ、闇の奥へ消え去っていった）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",lure_02
NODE,lure_02,"大蛇は隣の霊山に新しい巣を作った。翡翠鉱脈は無事だが、完全な解決とは言いづらい。","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",lure_02_02
NODE,lure_02_02,"（それでも、霊山の豊かな自然は壊されずに保たれた。これでいいはずだ）","{""bg"":""bg_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",lure_03
NODE,lure_03,"太守には「蛇は排除した」と報告した。嘘はついていない——場所を移しただけだ。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success_peace
NODE,end_success_peace,"「鉱脈は無事か。ご苦労」太守は満足げだ。だが報酬は控えめだった。\n山の老人が静かに頭を下げた。「精霊を守ってくれて感謝する」","{""bg"":""bg_karyu_village"",""rewards"":{""gold"":2500,""exp"":350,""reputation"":20,""alignment_shift"":{""justice"":8}},""type"":""end"",""result"":""success""}",
NODE,end_failure_01,"大蛇の強烈な尾の一撃が体に叩きつけられる。岩壁に叩きつけられ意識を失った。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",end_failure
NODE,end_failure,"翡翠大蛇の毒牙が閃いた。全身に毒が回り、意識が遠のいていく。","{""bg"":""bg_crypt"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
