row_type,node_id,text_label,params,next_node
NODE,start,"「阿明が戻らん。あの子は村一番の薬師だというのに……」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""speaker_name"":""長老"",""type"":""text""}",start_01_02
NODE,start_01_02,"村の広場は、静まり返っている。薬師のいなくなった村の空気は、どこか冷たい。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_02
NODE,start_02,"「三日前の夕暮れ、山道で花嫁行列と歩いておったのを見た者がおる」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""speaker_name"":""長老"",""type"":""text""}",start_02_02
NODE,start_02_02,"（花嫁行列？ この山奥の村で、こんな時期に婚礼など聞いたこともないが）","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「花嫁行列はこの村の者ではない。あれは妖狐の嫁入り行列よ」","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""speaker_name"":""長老"",""type"":""text""}",start_03_02
NODE,start_03_02,"長老は声を潜め、震える手で山の山頂を指さした。周囲の者たちも青ざめている。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04
NODE,start_04,"青年を取り戻すには、妖異が支配する霧深き山道へ踏み込まねばならない。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04_02
NODE,start_04_02,"（妖狐の嫁入りか。ただの迷信とは思えない。念のため、銀の武器を磨いておくか）","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_05
NODE,start_05,"覚悟を決め、背嚢を背負う。冷たい小雨が降り始める中、山道へと足を踏み入れた。","{""bg"":""bg_karyu_village"",""bgm"":""bgm_quest_calm"",""type"":""text""}",road_01
NODE,road_01,"山道に入ると、たちまち濃い霧が立ち込めてきた。視界は数歩先すらおぼつかない。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",road_01_02
NODE,road_01_02,"ふと足元を見ると、季節外れの桃の花びらが、湿った土の上に散らばっている。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",road_02
