row_type,node_id,text_label,params,next_node
NODE,start,"「山道に山賊が勝手に関所を作りやがった。旅人から金を奪っている」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""自警団の長"",""type"":""text""}",start_01_02
NODE,start_01_02,"集会所の古びた机を、自警団の長が悔しげに拳で叩いた。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_02
NODE,start_02,"「払えない者は身ぐるみ剥がされる。抵抗した商人は半殺しにされた」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""自警団の長"",""type"":""text""}",start_02_02
NODE,start_02_02,"（通行料と称した恐喝か。放置すれば街道が完全に死んでしまうな）","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「俺たちでは手に負えん。腕利きの冒険者に頼むしかないんだ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""自警団の長"",""type"":""text""}",start_03_02
NODE,start_03_02,"「どうか奴らを叩き出してくれ。街道の平和を戻してほしい」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""自警団の長"",""type"":""text""}",start_04
NODE,start_04,"山賊の関所か。街道の安全は冒険者にとっても死活問題だ。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"夜刀神国の山間部へ向かう。木々が鬱蒼と茂り、視界は悪い。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"湿った風が笹の葉を揺らし、不気味なざわめきが山に満ちている。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"山道を登っていくと、前方に粗末な柵と見張り台が見えてきた。あれが関所か。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",travel_02_02
NODE,travel_02_02,"（警戒はそれほど厳重ではないな。これなら奇襲も難しくはない）","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",road_01
NODE,road_01,"関所の前には通行人が数人、金を払わされて渋い顔をしている。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",road_02
NODE,road_02,"見張りは3人。奥の小屋に頭目がいるはずだ。どうする？","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_approach
NODE,choice_approach,"","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「旅人を装って関所を通り、隙を突く」,,disguise_01
CHOICE,,「正面から武器を構えて蹴散らす」,,assault_01
NODE,disguise_01,"武器を隠し、ただの旅人のふりをしてのんびりと関所に近づく。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",disguise_01_02
NODE,disguise_01_02,"（通してもらおうか。用があるのは頭目だが、まずはこいつらだ）","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",disguise_random
NODE,disguise_random,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_yato_mountain""}",
CHOICE,,success,,disguise_success
CHOICE,,failure,,disguise_fail
NODE,disguise_success,"通行料を払うふりをして、見張りの懐に飛び込んで一撃で気絶させた！","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",disguise_success_02
NODE,disguise_success_02,"（よし、静かに片付いたな。このまま奥の小屋へ向かおう）","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",disguise_fail
NODE,disguise_fail,"「おい、こいつ武器を隠し持ってやがる！ 冒険者の回し者だ！」","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""speaker_name"":""山賊の見張り"",""type"":""text""}",disguise_trap
NODE,disguise_trap,"不意打ちの棍棒を食らったが、反撃して見張りを制圧した。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",disguise_trap_02
NODE,disguise_trap_02,"（チッ、見破られたか。だが囲まれる前に片付けられて幸いだ）","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_hideout_02
NODE,assault_01,"正面から抜刀し、大声を上げて山賊どもに斬りかかる！","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",assault_01_02
NODE,assault_01_02,"（関所遊びは終わりだ！ お前たちのような悪党に払う金はない！）","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_battle"",""enemy_group_id"":433,""type"":""battle""}",
CHOICE,,win,,merge_hideout
CHOICE,,lose,,end_failure_01
NODE,merge_hideout,"関所を突破し、山道の奥にある山賊の小屋に到達した。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_hideout_02
NODE,merge_hideout_02,"小屋の周囲には、旅人から奪ったと思われる荷物が積まれている。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",hideout_01
NODE,hideout_01,"小屋の中から大声が聞こえる。頭目は部下と酒を飲んでいるようだ。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",hideout_02
NODE,hideout_02,"扉を蹴り開けて踏み込むと、酒瓶を持った大男と目が合った。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",hideout_02_02
NODE,hideout_02_02,"（こいつが親玉か。酒の酔いなど一瞬で吹き飛ばしてやる）","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",boss_intro_01
