row_type,node_id,text_label,params,next_node
META,gold,200,,
META,exp,100,,
META,reputation,5,,
NODE,start,「止まりなさい、孤独なる旅人よ。この先に立ち込める不穏な気配が見えぬのですか？」,"{""bg"":""bg_camp"",""bgm"":""bgm_quest_calm"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",start_02
NODE,start_02,「ガウェイン将軍の死は痛ましい。ですが、焦って一人で進めば破滅の光を浴びるだけ。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",start_03
NODE,start_03,「宿命の糸を紡ぎ直し、窮地を共に乗り越える確かな『戦友』を連れてくるのです。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",check_party
NODE,check_party,,"{""type"":""check_party_size"",""min_size"":2,""success"":""companion_intro"",""fallback"":""solo_warning""}",
NODE,solo_warning,「視えるのは孤独の死相のみ。己の力への過信は、時に最も残酷な毒牙となります。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",solo_warning_02
NODE,solo_warning_02,「まずは街の宿屋の『酒場』へ立ち寄り、契約の影をその背に従えなさい。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",solo_warning_03
NODE,solo_warning_03,「そこで出会う者たちもまた、あなたと同じ混沌の荒波を往く旅人なのですから。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",solo_warning_04
NODE,solo_warning_04,「運命を重ね、二つ以上の光が灯ったとき、私はあなたの往く道を開きましょう。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",end_retry
NODE,end_retry,占い師は静かに目を閉じた。仲間を募るため、一度街の酒場へと戻ろう。,"{""bg"":""bg_camp"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
NODE,companion_intro,「ほう……どうやら私の言葉を信じ、共に歩む『戦友』を見出してきたようですね。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",companion_intro_02
NODE,companion_intro_02,「二つの運命が交わることで、かつてない強固な道が拓かれようとしています。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",ambush_warning
NODE,ambush_warning,「警告の時は過ぎました。すぐそこに、あなた方を狙う王国軍の斥候が迫っています！」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",ambush_warning_02
NODE,ambush_warning_02,「刃を交え、あなた方の紡ぎ出した共闘の力が本物であるか、示しなさい！」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",battle_scout
NODE,battle_scout,王国軍の斥候部隊とのバトル！,"{""bg"":""bg_camp"",""bgm"":""bgm_battle_strong"",""enemy_group_id"":203,""type"":""battle""}",
CHOICE,,win,,clear_talk
CHOICE,,lose,,end_death
NODE,clear_talk,「実に見事。重なり合う宿命の輝きが、王国軍の包囲網を打ち砕く様を見ました。」,"{""bg"":""bg_camp"",""bgm"":""bgm_quest_calm"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",clear_talk_02
NODE,clear_talk_02,「この力があれば、険しきフロンティアへの旅路も切り拓くことができるでしょう。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",clear_outro
NODE,clear_outro,「宿命の風は東へ吹いています。迷うことなく、自らの信じる道を往きなさい。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",clear_outro_02
NODE,clear_outro_02,「世界の果てに待ち受ける真実と、失われた希望の行方を見届けるために……。」,"{""bg"":""bg_camp"",""type"":""text"",""speaker_name"":""旅の占い師"",""fg"":""fg_fortune_teller""}",end_success
NODE,end_success,仲間との共闘で斥候を退けた。世界の果てを目指そう。,"{""bg"":""bg_camp"",""rewards"":{""exp"":100,""gold"":200,""reputation"":5,""alignment_shift"":{""order"":5}},""type"":""end"",""result"":""success""}",
NODE,end_death,追手に拘束されてしまった。真伝えることはできない。,"{""bg"":""bg_camp"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
