row_type,node_id,text_label,params,next_node
NODE,start,"「華龍国から緊急の依頼だ。霊峰に神獣が現れ、山を封鎖している」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「麒麟——古来、仁徳の象徴とされる幻の聖獣だ。だが今は人間を拒絶している」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「山麓の民は薬草園と鉱脈を失い、飢え始めている。一刻の猶予もない」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"神獣を討つのか、それとも対話するのか。まずは霊峰に向かい、真意を確かめなければ。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",climb_01
NODE,climb_01,"崑崙山の麓に到着した。山道の入口に結界の光が薄く漂っている。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",climb_02
NODE,climb_02,"結界に触れると、穏やかだが確かな拒絶の力を感じる。通り抜けるには覚悟がいる。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",climb_03
NODE,climb_03,"意を決して結界に踏み込んだ。体が軋むような圧力——だが、前に進む。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",climb_04
NODE,climb_04,"結界を突破した。だがその代償は体に刻まれている。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",barrier_trap
NODE,barrier_trap,"結界の浄化の力が体を蝕む。人間の穢れを灼いているのか——全身に鈍い痛みが走った。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",barrier_02
NODE,barrier_02,"結界の内側は、外界とは空気が異なっていた。澄み切った霊気が肌を撫でる。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",forest_01
NODE,forest_01,"山道を登ると、かつての薬草園が見えた。人の手入れが途絶え、野生に還りつつある。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",forest_02
NODE,forest_02,"だが植生は異常に豊かだ。麒麟の霊気が山全体を活性化させているのか。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",forest_03
NODE,forest_03,"鳥の声、獣の気配。結界の中は楽園のようだ。麒麟は山を守っている——ように見える。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",forest_04
NODE,forest_04,"だが楽園の番人は来訪者を歓迎しない。森の奥から、精霊たちが警戒の眼差しを向けている。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"結界の守護精霊たちが侵入者を排除しようと襲いかかる！","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_battle"",""enemy_group_id"":108,""type"":""battle""}",
CHOICE,,win,,summit_01
CHOICE,,lose,,end_failure
NODE,summit_01,"精霊を退け、山頂への最後の登りに差しかかった。空気が薄いが、霊気は濃密だ。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",summit_02
NODE,summit_02,"山頂の台地に出た。一面の雲海。その中央に、白銀の光を纏う存在が佇んでいる。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",summit_03
NODE,summit_03,"鹿の体に龍の頭、全身を覆う光の鱗。一本角が虹色に輝く。麒麟だ。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",random_judge
NODE,random_judge,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_karyu_mountain""}",
CHOICE,,success,,judge_pass
CHOICE,,failure,,judge_fail
NODE,judge_pass,"麒麟の光がこちらを包んだ。体が温かい。害意はないと判断されたようだ。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",confront_01
