row_type,node_id,text_label,params,next_node
NODE,start,"「最高危険度の封印指定だ。古代遺跡から大悪魔の魔力波が検知された」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「千年前の大戦で封じた悪魔——バフォメット。封印が劣化している」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「完全復活すれば国一つが灰になる。それだけの力を持つ存在だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"ギルドマスターの目は冗談を言う色ではなかった。これは国家規模の脅威だ。覚悟を決めて準備を始める。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_01
NODE,prepare_01,"ギルドから支給された古文書を読む。バフォメットは闇と炎の二属性を操り、精神を蝕む咆哮を放つ。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_02
NODE,prepare_02,"弱点は聖属性と光。だが古文書には「光すら喰らう闇の中では、勇気のみが武器となる」とある。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_03
NODE,prepare_03,"装備を整え、ローランド聖王国の南端にある古代遺跡へと向かった。入口には既に聖騎士団が結界を張っている。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",descend_01
NODE,descend_01,"結界を抜け、地下へ降りる。石段は苔に覆われ、空気は澱んで重い。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",descend_02
NODE,descend_02,"松明の炎が不自然に揺れる。魔力の残滓が空気中に漂っているのだ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",descend_03
NODE,descend_03,"第一層の通路に入ると、床に刻まれた古代文字が赤く脈動していた。罠か——","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",trap_spike
NODE,trap_spike,"床の文字を踏んだ瞬間、壁から毒針が射出された！ 咄嗟に身を捻るが、腕を掠める。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",trap_spike_02
NODE,trap_spike_02,"傷は浅いが、針には弱い呪毒が塗られていた。体の芯が少し重くなる。先を急ごう。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",corridor_01
NODE,corridor_01,"通路の壁に、千年前の戦いを描いた壁画がある。聖騎士たちがバフォメットと対峙している。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",corridor_02
NODE,corridor_02,"壁画の最後——聖騎士たちは勝利したのではなく、命と引き換えに封印したのだ。その数、百余名。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",corridor_03
NODE,corridor_03,"通路の先から、不気味な呻き声が聞こえる。封印の魔力に引き寄せられた亡者たちだ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",battle_01
NODE,battle_01,"封印の残滓に引き寄せられた怨霊たちが襲いかかる！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_battle"",""enemy_group_id"":416,""type"":""battle""}",
CHOICE,,win,,after_battle_01
CHOICE,,lose,,end_failure
NODE,after_battle_01,"怨霊を退け、第二層への扉に辿り着いた。扉には古代のルーン文字が刻まれている。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",after_battle_02
NODE,after_battle_02,"ルーン文字を読み解かなければ扉は開かない。古文書の知識を頼りに解読を試みる。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",puzzle_01
NODE,puzzle_01,"文字の配列は複雑だが、パターンが見える。「光」「闇」「均衡」——三つの概念の組み合わせか。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",puzzle_02
NODE,puzzle_02,"正しい順番でルーンに触れる。指先に魔力が走り、扉が反応した——","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",random_rune
NODE,random_rune,"","{""type"":""random_branch"",""prob"":60,""bg"":""bg_ruin_crypt""}",
CHOICE,,success,,rune_success
CHOICE,,failure,,rune_fail
NODE,rune_success,"ルーンが青白く輝き、扉が静かに開いた。正解だ。安全に第二層へ進める。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",rune_success_02
NODE,rune_success_02,"扉の向こうから、より濃厚な魔力の気配が漂ってくる。覚悟を決めて足を踏み入れた。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",sanctum_01
NODE,rune_fail,"ルーンが赤く輝いた——間違えた！ 扉から魔力の衝撃波が放たれる！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",rune_fail_trap
