row_type,node_id,text_label,params,next_node
NODE,start,"都の豪邸の奥座敷。脂肪で顔を膨らませた官僚、薛（せつ）が絹の椅子に身を沈めていた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_02
NODE,start_02,"「明日から三日、都より『巡検使』が視察に来る。私の帳簿の不備を調べるらしい」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""薛"",""type"":""text""}",start_03
NODE,start_03,"「だが、真の目的は帳簿ではない。政敵が私を消すため、暗殺者を送ってきたのだ」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""薛"",""type"":""text""}",start_04
NODE,start_04,"「巡検使が去るまでの三日三晩、この屋敷にとどまり、私を刺客から守り抜いてほしい」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""薛"",""type"":""text""}",start_05_01
NODE,start_05_01,"薛は、机の上に金の延べ棒がぎっしりと詰まった箱を滑らせた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_05
NODE,start_05,"「報酬は弾もう。私の命は何より高いからな」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_tense"",""speaker_name"":""薛"",""type"":""text""}",join_official_01
NODE,join_official_01,"「私は文官ですから。戦いはすべて任せますよ」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""speaker_name"":""薛"",""type"":""text""}",join_official
NODE,join_official,"悪徳官僚・薛が護衛対象としてパーティに加わった。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""guest_id"":""npc_corrupt_official"",""is_escort_target"":true,""type"":""guest_join""}",join_official_02
NODE,join_official_02,"薛は満足げに頷くと、使用人を呼び寄せて冷たいお茶を用意させた。警戒感の薄い男だ。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""type"":""text""}",join_official_03
NODE,join_official_03,"だが、その背後に漂う殺気は本物だ。屋敷の隅々に配置された護衛の数も十分ではない。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""type"":""text""}",tour_01
NODE,tour_01,"案内された屋敷の庭園は、華龍の一般市民が一生働いても作れないほど広大だった。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""type"":""text""}",tour_02
NODE,tour_02,"金魚が優雅に泳ぐ池と、宝石を散りばめたような灯籠。まさに汚職の象徴である。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""type"":""text""}",tour_03
NODE,tour_03,"すれ違った使用人が小声で教えてくれた。既に前の護衛が二名、毒針で暗殺されたのだという。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""type"":""text""}",night_01
NODE,night_01,"初日の夜。豪華な寝所で震える薛の部屋の前に立ち、屋敷の巡回と警護を開始する。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",night_01_02
NODE,night_01_02,"冷たい夜風が廊下を吹き抜け、提灯の明かりが不規則に揺れる。影が奇妙に引き伸ばされた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",night_01_03
NODE,night_01_03,"薛の寝所からは、時折小さないびきが聞こえてくる。彼は己の危機の近さを理解していない。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",night_02
NODE,night_02,"月明かりが庭園の池を美しく照らしている。虫の音しか聞こえない、静寂に包まれた夜だ。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",night_03
NODE,night_03,"だが、自分の勘が危険を告げた。風もないのに、水面に映る月が不自然に波打っている。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",night_04
